Protein.uniprotID	Protein.proID
Q8LBM4	PR_Q8LBM4
Q86AC8	PR_Q86AC8
O49499	PR_O49499
Q0WNB1	PR_Q0WNB1
P53289	PR_P53289
Q9Y3R0	PR_Q9Y3R0
G5EGQ3	PR_G5EGQ3
Q2FWE5	PR_Q2FWE5
Q02384	PR_Q02384
O62855	PR_O62855
P30561	PR_P30561
Q02078	PR_Q02078
Q8W0Y8	PR_Q8W0Y8
O70521	PR_O70521
Q9ZVY5	PR_Q9ZVY5
P36406	PR_P36406
P07764	PR_P07764
Q59X40	PR_Q59X40
Q9JKD8	PR_Q9JKD8
P58107	PR_P58107
A2ARI4	PR_A2ARI4
O22869	PR_O22869
Q9D9H8	PR_Q9D9H8
Q9M2E8	PR_Q9M2E8
B8A5L1	PR_B8A5L1
Q9CZX9	PR_Q9CZX9
Q8YBG5	PR_Q8YBG5
Q9DAV9	PR_Q9DAV9
P23825	PR_P23825
Q90732	PR_Q90732
A5IS16	PR_A5IS16
A6NMZ5	PR_A6NMZ5
Q8VHI3	PR_Q8VHI3
Q9R1T3	PR_Q9R1T3
Q02650	PR_Q02650
Q80TS8	PR_Q80TS8
Q9P0L0	PR_Q9P0L0
P18130	PR_P18130
Q9CY94	PR_Q9CY94
P0C528	PR_P0C528
Q13516	PR_Q13516
Q93VI3	PR_Q93VI3
Q9P3V7	PR_Q9P3V7
A2AFE9	PR_A2AFE9
Q8BJY1	PR_Q8BJY1
Q9VUV9	PR_Q9VUV9
Q9H6U6	PR_Q9H6U6
Q9CSH3	PR_Q9CSH3
Q02555	PR_Q02555
Q04899	PR_Q04899
O94370	PR_O94370
O43660	PR_O43660
P23919	PR_P23919
P34492	PR_P34492
P60778	PR_P60778
P63183	PR_P63183
Q9QXA5	PR_Q9QXA5
Q2FXK6	PR_Q2FXK6
P62716	PR_P62716
Q9T074	PR_Q9T074
P0DI11	PR_P0DI11
Q9VU87	PR_Q9VU87
P40090	PR_P40090
F4KHQ8	PR_F4KHQ8
Q9FYC8	PR_Q9FYC8
Q07FI0	PR_Q07FI0
Q54P70	PR_Q54P70
O95336	PR_O95336
A9ULR9	PR_A9ULR9
Q643R3	PR_Q643R3
Q559K0	PR_Q559K0
P14432	PR_P14432
P56282	PR_P56282
Q2G1T3	PR_Q2G1T3
F4I111	PR_F4I111
P80723	PR_P80723
Q8CE96	PR_Q8CE96
O15523	PR_O15523
O80605	PR_O80605
P27815	PR_P27815
Q8LDW6	PR_Q8LDW6
Q64487	PR_Q64487
Q8IUF8	PR_Q8IUF8
Q86VZ5	PR_Q86VZ5
Q9I7I7	PR_Q9I7I7
Q9JM04	PR_Q9JM04
F4HY56	PR_F4HY56
Q9SK09	PR_Q9SK09
B9TSP7	PR_B9TSP7
Q32PN7	PR_Q32PN7
Q75JP7	PR_Q75JP7
Q9HDC9	PR_Q9HDC9
Q9H4X1	PR_Q9H4X1
Q8RWB7	PR_Q8RWB7
P48001	PR_P48001
Q54EY1	PR_Q54EY1
Q54VP7	PR_Q54VP7
Q9LTP6	PR_Q9LTP6
Q55E74	PR_Q55E74
Q9Z0Y8	PR_Q9Z0Y8
Q9Z2I6	PR_Q9Z2I6
Q9FYC4	PR_Q9FYC4
Q9SAA2	PR_Q9SAA2
P47735	PR_P47735
P04908	PR_P04908
Q8WWN9	PR_Q8WWN9
Q9NUP7	PR_Q9NUP7
Q9SZ63	PR_Q9SZ63
Q9FWA3	PR_Q9FWA3
Q55E39	PR_Q55E39
B6EXY6	PR_B6EXY6
Q9FXT6	PR_Q9FXT6
Q5ZJ06	PR_Q5ZJ06
Q8N5S3	PR_Q8N5S3
