Chemical.meshID	Chemical.chebiID
MESH_C005283	CHEBI_7782
MESH_D010622	CHEBI_8058
MESH_C090725	CHEBI_67917
MESH_C004524	CHEBI_2879
MESH_C099823	CHEBI_7623
MESH_C085890	CHEBI_2964
MESH_C053309	CHEBI_31678
MESH_C005045	CHEBI_1547
MESH_C026793	CHEBI_73916
MESH_D000077608	CHEBI_499361
MESH_C443641	CHEBI_53266
MESH_C503399	CHEBI_144380
MESH_D011206	CHEBI_8347
MESH_C086434	CHEBI_71290
MESH_D015645	CHEBI_77047
MESH_C041693	CHEBI_41254
MESH_D004177	CHEBI_32169
MESH_C005947	CHEBI_132878
MESH_C041345	CHEBI_53577
MESH_C032788	CHEBI_138412
MESH_C580734	CHEBI_85069
MESH_C088290	CHEBI_80056
MESH_C034596	CHEBI_239133
MESH_D000666	CHEBI_2682
MESH_C042908	CHEBI_30449
MESH_C057773	CHEBI_32136
MESH_C046721	CHEBI_35049
MESH_C010377	CHEBI_90206
MESH_C034932	CHEBI_135304
MESH_D007975	CHEBI_57461
MESH_C518566	CHEBI_145950
MESH_C117762	CHEBI_4323
MESH_C071430	CHEBI_34816
MESH_C027833	CHEBI_31059
MESH_D014558	CHEBI_29026
MESH_C090840	CHEBI_53783
MESH_C059167	CHEBI_131383
MESH_C031463	CHEBI_17270
MESH_C067626	CHEBI_36076
MESH_C029899	CHEBI_14434
MESH_C508627	CHEBI_6381
MESH_D002927	CHEBI_3699
MESH_D000077408	CHEBI_77591
MESH_C116705	CHEBI_140232
MESH_C100199	CHEBI_134780
MESH_C569983	CHEBI_31636
MESH_C028033	CHEBI_30060
MESH_C021951	CHEBI_133179
MESH_C077792	CHEBI_34941
MESH_C005396	CHEBI_8049
MESH_C016502	CHEBI_78842
MESH_C527598	CHEBI_87841
MESH_C479487	CHEBI_4361
MESH_C430852	CHEBI_48079
MESH_C015238	CHEBI_135889
MESH_C553221	CHEBI_27655
MESH_C034532	CHEBI_135632
MESH_C038762	CHEBI_59606
MESH_C075377	CHEBI_3488
MESH_C021313	CHEBI_15733
MESH_D014501	CHEBI_27214
MESH_C015558	CHEBI_27549
MESH_D058986	CHEBI_71942
MESH_D004155	CHEBI_4636
MESH_C036567	CHEBI_35546
MESH_C046051	CHEBI_68347
MESH_D012406	CHEBI_35817
MESH_C028281	CHEBI_74751
MESH_C587178	CHEBI_167670
MESH_C452434	CHEBI_52583
MESH_D003634	CHEBI_16130
MESH_D057911	CHEBI_61016
MESH_C413246	CHEBI_36481
MESH_D008934	CHEBI_52290
MESH_C036097	CHEBI_32183
MESH_C067655	CHEBI_88739
MESH_C017691	CHEBI_135253
MESH_C039993	CHEBI_6550
MESH_C004500	CHEBI_57289
MESH_D010121	CHEBI_7872
MESH_C004479	CHEBI_40618
MESH_D002301	CHEBI_83970
MESH_C096277	CHEBI_67263
MESH_C005073	CHEBI_52741
MESH_C058302	CHEBI_6960
