Protein.proID	Cofactor.chebiID
PR_Q86X67	CHEBI_18420
PR_Q86X67	CHEBI_29035
PR_Q6N063	CHEBI_38290
PR_Q6N063	CHEBI_29033
PR_Q9NTK5	CHEBI_18420
PR_O14832	CHEBI_38290
PR_O14832	CHEBI_18420
PR_O14832	CHEBI_30616
PR_O14832	CHEBI_24875
PR_Q6QHF9	CHEBI_57692
PR_Q9NZ20	CHEBI_29108
PR_P17858	CHEBI_18420
PR_Q9BQG1	CHEBI_29108
PR_P11388	CHEBI_18420
PR_P11388	CHEBI_29108
PR_P11388	CHEBI_29035
PR_Q92889	CHEBI_18420
PR_Q9BYP7	CHEBI_18420
PR_Q9BQK8	CHEBI_18420
PR_Q08397	CHEBI_23378
PR_Q08397	CHEBI_20489
PR_Q99683	CHEBI_18420
PR_Q13233	CHEBI_18420
PR_P36871	CHEBI_18420
PR_Q15165	CHEBI_29108
PR_Q9Y233	CHEBI_60240
PR_Q01064	CHEBI_60240
PR_P04637	CHEBI_29105
PR_P13686	CHEBI_24875
PR_P15918	CHEBI_18420
PR_P15918	CHEBI_29035
PR_Q6ZT21	CHEBI_60240
PR_Q96PN8	CHEBI_18420
PR_Q96QT4	CHEBI_29105
PR_Q9BT88	CHEBI_29108
PR_P58557	CHEBI_29105
PR_Q9H4B0	CHEBI_60240
PR_Q9HC10	CHEBI_29108
PR_Q86XP0	CHEBI_29108
PR_Q15147	CHEBI_29108
PR_P36873	CHEBI_29035
PR_Q96BW5	CHEBI_60240
PR_P08294	CHEBI_29105
PR_P08294	CHEBI_23378
PR_Q9NXA8	CHEBI_29105
PR_Q8TCJ2	CHEBI_18420
PR_Q8TCJ2	CHEBI_29035
PR_Q96SB4	CHEBI_18420
PR_Q99611	CHEBI_18420
PR_P09923	CHEBI_29105
PR_P09923	CHEBI_18420
PR_P30520	CHEBI_18420
PR_P78563	CHEBI_58130
PR_Q5VYX0	CHEBI_57692
PR_Q96I15	CHEBI_597326
PR_P23526	CHEBI_57540
PR_P08842	CHEBI_29108
PR_Q8IYB8	CHEBI_18420
PR_Q8IYB8	CHEBI_29035
PR_Q6GTS8	CHEBI_29105
PR_Q9Y2J0	CHEBI_29108
PR_O15269	CHEBI_597326
